0,CombatZoneResize,244,251,619,391,TLResume,,
0,HeartTeleport,431,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,751,326,51,2,150,,
0.4,BoneVRepeat,619,356,40,2,120,70,15
0.4,Platform,751,346,51,2,150,,
0.5,Platform,781,326,51,2,130,,
0,BoneV,841,306,150,2,130,,
0,BoneV,861,286,150,2,130,,
0,BoneV,881,276,150,2,130,,
0,BoneV,901,266,150,2,130,,
0,BoneV,921,266,150,2,130,,
0,BoneV,941,266,150,2,130,,
0,BoneV,961,276,150,2,130,,
0,BoneV,981,286,150,2,130,,
0,BoneV,1001,306,150,2,130,,
0.2,BoneV,619,266,120,2,150,,
0.2,CombatZoneSpeed,20,,,
0,CombatZoneResize,244,181,619,391,,,
1.7,Platform,751,236,31,2,60,,
0.6,Platform,751,326,51,2,150,,
0.7,Platform,751,296,51,2,150,,
0.3,BoneV,619,187,125,2,150,,
0,BoneV,639,187,105,2,150,,
0,BoneV,659,187,85,2,150,,
0.4,Platform,751,266,51,2,150,,
0.3,BoneV,619,187,95,2,150,,
0,BoneV,639,187,75,2,150,,
0,BoneV,659,187,55,2,150,,
0.7,BoneV,619,187,65,2,150,,
0,BoneV,639,187,45,2,150,,
0,BoneV,659,187,25,2,150,,
1.5,BoneV,244,187,95,0,90,,
0.7,BoneV,619,216,170,2,240,,
2.5,EndAttack,,,,,,,
