0,CombatZoneResize,244,231,519,431,TLResume,,,
0,HeartTeleport,381,330,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,BoneVRepeat,578,220,40,0,60,80,15
0,BoneVRepeat,178,406,40,2,60,80,15
0,Platform,356,346,51,0,100,1,
0,PlatformRepeat,41,306,121,0,120,8,220,
0,PlatformRepeat,613,386,161,2,120,8,220,
0,SET,Loop,16,,,,,
0,JMPZ,25,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,3,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,3,,,,,,
0,JMPREL,4,,,,,,
0,JMPREL,5,,,,,,
0,BoneV,578,257,45,2,120,,
0.5,JMPABS,11,,,,,,
0,BoneV,236,306,40,0,120,,
0.5,JMPABS,11,,,,,,
0,BoneV,578,349,35,2,120,,
0.5,JMPABS,11,,,,,,
0,EndAttack,,,,,,,
