0,CombatZoneResize,244,251,619,391,TLResume,,
0,HeartTeleport,431,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,126,326,61,0,120,,
0,BoneV,129,286,60,0,130,,
0.4,BoneVRepeat,244,356,40,0,120,60,15
0,BoneVRepeat,244,201,40,2,120,85,15
1.2,BoneV,166,276,150,0,115,,
0,BoneV,151,286,150,0,115,,
0,BoneV,136,296,150,0,115,,
0,BoneV,121,306,150,0,115,,
0,Platform,30,346,81,0,110,,
0,BoneV,28,286,150,0,110,,
0,BoneV,70,207,80,0,110,,
0,Platform,43,286,30,0,110,,
2,Platform,43,306,40,0,140,,
0,CombatZoneSpeed,20,,,,
0,CombatZoneResize,244,201,619,391,,,
1.7,Platform,50,326,61,0,180,,
1,BoneV,216,207,105,0,210,,
0,Platform,50,346,110,0,190,,
0,BoneV,50,286,100,0,190,,
2.3,BoneV,244,207,145,0,255,,
1.7,EndAttack,,,,,,,
